date,aqi,dominentpol,pm25,pm10,o3,h,p,t,w,wg
2024-05-12,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-13,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-14,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-15,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-16,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-17,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-18,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-19,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-20,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-21,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-22,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-23,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-24,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-25,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-26,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-27,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-28,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-29,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-30,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-05-31,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-01,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-02,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-03,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-04,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-05,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-06,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-07,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
2024-06-08,22,pm25,22,,,44.5,1015.9,24.8,2.5,4
